latorigem,lonorigem,ticketdate,tickettime,usercard,busid,cardtype,sense,valor,route,val,projectid,feed_id,typecard,latdestino,londestino,feed_idstop_id,company,periodrange,tickettimerange,trafficzoneidorign,trafficzoneiddestination,totalcapacity,ticketmonth,ticketdateusercardtickettime,grididorign,grididdestination,validationorder,travelleddistance,ticketdatetime,startoperation,endoperation,stop_idorigem,stop_iddestino,tickettimehour,motive,status
-19.467428,-44.208111,2023-07-26,05:42:10,1379111701,16208,URBANO - VALE TRANSPORTE, ,4.25,004,,688,775890S47082P05:30:00,Vale Transporte,-19.464415,-44.247704,775890S47082P05:30:006350475,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,05:30:00,46.0,1,0.0,7,2023-07-26137911170105:42:10,200ME60206N91454,200ME60166N91460,1,,2023-07-26 05:42:10,2023-07-26 04:30:00,2023-07-27 04:29:59,6350475.0,6116254.0,05,outros motivos,
-19.464415,-44.247704,2023-07-26,12:13:04,1379111701,16208,URBANO - VALE TRANSPORTE, ,4.25,004,,688,800228S47082P12:05:00,Vale Transporte,-19.467428,-44.208111,800228S47082P12:05:006116254,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,12:00:00,1.0,1,0.0,7,2023-07-26137911170112:13:04,200ME60166N91460,200ME60166N91460,2,,2023-07-26 12:13:04,2023-07-26 04:30:00,2023-07-27 04:29:59,6116254.0,6116254.0,12,casa,
-19.435505,-44.212284,2023-07-26,08:05:40,1379168997,12012,URBANO - VALE TRANSPORTE, ,4.25,015,,688,2389432S47082P07:50:00,Vale Transporte,-19.460007,-44.241573,2389432S47082P07:50:006397228,,Pico Manhã,08:00:00,76.0,3,,7,2023-07-26137916899708:05:40,200ME60204N91490,200ME60172N91464,1,,2023-07-26 08:05:40,2023-07-26 04:30:00,2023-07-27 04:29:59,6397228.0,,08,outros motivos,
-19.460007,-44.241573,2023-07-26,10:09:50,1379168997,12012,URBANO - VALE TRANSPORTE, ,4.25,015,,688,,Vale Transporte,-19.435505,-44.212284,,,Entre Pico,10:00:00,3.0,3,,7,2023-07-26137916899710:09:50,200ME60172N91464,200ME60172N91464,2,,2023-07-26 10:09:50,2023-07-26 04:30:00,2023-07-27 04:29:59,,,10,casa,
-19.497225,-44.236965,2023-07-26,17:38:36,1379188981,11149,URBANO - VALE TRANSPORTE, ,4.25,011,,688,775999S47082P17:35:00,Vale Transporte,-19.46302,-44.243626,775999S47082P17:35:006253505,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,17:30:00,66.0,2,0.0,7,2023-07-26137918898117:38:36,200ME60176N91422,200ME60170N91460,1,,2023-07-26 17:38:36,2023-07-26 04:30:00,2023-07-27 04:29:59,6253505.0,6116422.0,17,outros motivos,
-19.46302,-44.243626,2023-07-26,22:21:34,1379188981,1908,URBANO - VALE TRANSPORTE, ,4.25,002,,688,795612S47082P22:00:00,Vale Transporte,-19.497225,-44.236965,795612S47082P22:00:006116422,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Noite,22:00:00,2.0,2,0.0,7,2023-07-26137918898122:21:34,200ME60170N91460,200ME60170N91460,2,,2023-07-26 22:21:34,2023-07-26 04:30:00,2023-07-27 04:29:59,6116422.0,6116422.0,22,casa,
-19.459751,-44.241344,2023-07-26,18:10:20,1379253717,11149,URBANO - VALE TRANSPORTE, ,4.25,011,,688,,Vale Transporte,-19.498924,-44.24054,,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,18:00:00,3.0,3,0.0,7,2023-07-26137925371718:10:20,200ME60172N91464,200ME60172N91464,2,,2023-07-26 18:10:20,2023-07-26 04:30:00,2023-07-27 04:29:59,,,18,casa,
-19.455406,-44.208527,2023-07-26,16:17:58,1379292501,20017,URBANO - EMPRESARIAL, ,0.0,004,,688,800229S47082P16:00:00,Gratuito Outros,-19.43327,-44.220825,800229S47082P16:00:006115891,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,16:00:00,47.0,47,0.0,7,2023-07-26137929250116:17:58,200ME60206N91468,200ME60206N91468,2,,2023-07-26 16:17:58,2023-07-26 04:30:00,2023-07-27 04:29:59,6115891.0,6115891.0,16,casa,
-19.413713,-44.18446,2023-07-26,07:37:38,1382633354,14197,URBANO - VALE TRANSPORTE, ,4.25,053,,688,2376962S47082P07:35:00,Vale Transporte,-19.460175,-44.241184,2376962S47082P07:35:006415665,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,07:30:00,105.0,3,0.0,7,2023-07-26138263335407:37:38,200ME60234N91514,200ME60172N91464,1,,2023-07-26 07:37:38,2023-07-26 04:30:00,2023-07-27 04:29:59,6415665.0,6116065.0,07,transferencia,
-19.476839,-44.264141,2023-07-26,13:22:40,1891222186,16207,URBANO - SENIOR, ,0.0,007,,688,775994S47082P13:10:00,Gratuito Idoso,-19.440525,-44.341976,775994S47082P13:10:006352733,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,13:00:00,39.0,39,0.0,7,2023-07-26189122218613:22:40,200ME60148N91446,200ME60148N91446,2,,2023-07-26 13:22:40,2023-07-26 04:30:00,2023-07-27 04:29:59,6352733.0,6352733.0,13,casa,
